alpha,beta,gamma,delta,gamma1,gamma2,k,alive,stddev
0.388959,-1.47295,3.94137,0.001,4.78799,3.72558,0.530564,4641,4.43662
0.388959,-1.47295,3.94137,0.001,0.732811,0.86044,0.580493,4302,11.0842
0.388959,-1.47295,3.94137,0.001,1.43724,0.3025,-0.88873,4656,5.97913
0.388959,-1.47295,3.94137,0.001,3.36119,1.90069,-0.516953,4444,8.12019
0.388959,-1.47295,3.94137,0.001,3.72338,1.41179,0.352886,4402,8.77407
0.0704245,-1.014,5,0.000817193,1e-06,1.89383,-0.641133,4795,0.463512
0.45981,-1.9739,3.05065,0.000322304,1e-06,1.89383,-0.641133,4783,1.08793
-0.180822,-1.75997,3.75423,0.000276139,1e-06,1.89383,-0.641133,4794,0.695971
0.388959,-1.47295,3.94137,0.001,1e-06,1.89383,-0.641133,4794,0.599479
0.622852,-1.50856,4.97986,0.000321641,1e-06,1.89383,-0.641133,4790,0.780625
-0.388701,-2.37658,5,0.000162638,4.78799,3.72558,0.530564,4290,10.4216
-0.388701,-2.37658,5,0.000162638,0.732811,0.86044,0.580493,3842,15.6
-0.388701,-2.37658,5,0.000162638,1.43724,0.3025,-0.88873,4670,4.31386
-0.388701,-2.37658,5,0.000162638,3.36119,1.90069,-0.516953,4395,13.6094
-0.388701,-2.37658,5,0.000162638,3.72338,1.41179,0.352886,3965,15.6174
0.0704245,-1.014,5,0.000817193,5.19726,3.34348,0.615802,4516,8.84944
0.45981,-1.9739,3.05065,0.000322304,5.19726,3.34348,0.615802,4633,3.98385
-0.388701,-2.37658,5,0.000162638,5.19726,3.34348,0.615802,4367,5.43678
0.388959,-1.47295,3.94137,0.001,5.19726,3.34348,0.615802,4579,5.24665
0.622852,-1.50856,4.97986,0.000321641,5.19726,3.34348,0.615802,4472,6.88295
-3,-3,5,1e-08,4.78799,3.72558,0.530564,4036,3.25
-3,-3,5,1e-08,0.732811,0.86044,0.580493,3306,20.6696
-3,-3,5,1e-08,1.43724,0.3025,-0.88873,4409,9.15129
-3,-3,5,1e-08,3.36119,1.90069,-0.516953,4087,15.4474
-3,-3,5,1e-08,3.72338,1.41179,0.352886,3499,20.1144
0.0704245,-1.014,5,0.000817193,1.96931,6,1,4660,4.02337
0.45981,-1.9739,3.05065,0.000322304,1.96931,6,1,4686,2.28788
-0.388701,-2.37658,5,0.000162638,1.96931,6,1,4566,4.84607
0.388959,-1.47295,3.94137,0.001,1.96931,6,1,4700,2.30489
0.622852,-1.50856,4.97986,0.000321641,1.96931,6,1,4597,4.45419
2.45076,-1.44179,5,0.000121462,4.78799,3.72558,0.530564,3934,12.0824
2.45076,-1.44179,5,0.000121462,0.732811,0.86044,0.580493,4281,12.1499
2.45076,-1.44179,5,0.000121462,1.43724,0.3025,-0.88873,3966,11.2465
2.45076,-1.44179,5,0.000121462,3.36119,1.90069,-0.516953,3976,12.6837
2.45076,-1.44179,5,0.000121462,3.72338,1.41179,0.352886,4215,9.9873
0.0704245,-1.014,5,0.000817193,6,5.00576,-1,4756,1.75
0.45981,-1.9739,3.05065,0.000322304,6,5.00576,-1,4774,1.31696
-0.388701,-2.37658,5,0.000162638,6,5.00576,-1,4786,1.36359
0.388959,-1.47295,3.94137,0.001,6,5.00576,-1,4779,0.845484
0.622852,-1.50856,4.97986,0.000321641,6,5.00576,-1,4745,2.31756
-2.82413,-0.905772,5,0.001,4.78799,3.72558,0.530564,3773,10.3091
